iteration,area,lev,command
0,46836,114,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
3,43416,113,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
6,40090,109,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
9,37975,104,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
12,36323,103,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
15,34985,100,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
18,34231,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
21,33630,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
24,33172,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
27,32826,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
30,32484,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
33,32064,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
36,31782,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
39,31635,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
42,31507,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
45,31444,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
48,31410,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
51,31383,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
54,31355,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
57,31334,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
60,31309,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
63,31291,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
66,31265,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
69,31250,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
72,31185,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
75,31177,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
78,31104,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
81,30991,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
84,30959,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
87,30910,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
90,30881,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
93,30869,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
96,30844,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
99,30836,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
102,30834,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
105,30833,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
108,30833,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
111,30803,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
114,30785,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
117,30783,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
120,30774,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
123,30767,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
126,30759,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
129,30751,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
132,30747,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
135,30746,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
138,30745,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
141,30737,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
144,30736,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
147,30733,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
150,30732,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
153,30731,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
156,30730,101,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
159,30730,101,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
162,30730,102,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
165,30725,100,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
168,30723,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
171,30720,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
174,30720,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
177,30720,96,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
180,30720,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
183,30716,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
186,30715,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
189,30712,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
192,30712,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
195,30708,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
198,30708,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
201,30706,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
204,30691,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
207,30684,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
210,30683,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
213,30683,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
216,30683,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
219,30683,98,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
222,30683,99,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
225,30683,97,"rwz;rf -z -N 15 -l 0; rs -K 16 -N 3 -l 0"
0,46836,114,"rwz;rfz;rs"
3,45213,114,"rwz;rfz;rs"
6,43586,114,"rwz;rfz;rs"
9,42387,114,"rwz;rfz;rs"
12,41672,110,"rwz;rfz;rs"
15,41158,110,"rwz;rfz;rs"
18,40801,110,"rwz;rfz;rs"
21,40604,110,"rwz;rfz;rs"
24,40326,110,"rwz;rfz;rs"
27,40155,109,"rwz;rfz;rs"
30,40036,102,"rwz;rfz;rs"
33,39869,101,"rwz;rfz;rs"
36,39786,100,"rwz;rfz;rs"
39,39698,99,"rwz;rfz;rs"
42,39629,99,"rwz;rfz;rs"
45,39535,99,"rwz;rfz;rs"
48,39454,98,"rwz;rfz;rs"
51,39379,97,"rwz;rfz;rs"
54,39333,96,"rwz;rfz;rs"
57,39312,95,"rwz;rfz;rs"
60,39286,95,"rwz;rfz;rs"
63,39271,95,"rwz;rfz;rs"
66,39251,95,"rwz;rfz;rs"
69,39239,94,"rwz;rfz;rs"
72,39224,94,"rwz;rfz;rs"
75,39212,94,"rwz;rfz;rs"
78,39207,94,"rwz;rfz;rs"
81,39196,94,"rwz;rfz;rs"
84,39190,94,"rwz;rfz;rs"
87,39177,94,"rwz;rfz;rs"
90,39167,94,"rwz;rfz;rs"
93,39164,94,"rwz;rfz;rs"
96,39160,94,"rwz;rfz;rs"
99,39158,94,"rwz;rfz;rs"
102,39155,94,"rwz;rfz;rs"
105,39152,94,"rwz;rfz;rs"
108,39148,94,"rwz;rfz;rs"
111,39146,94,"rwz;rfz;rs"
114,39145,94,"rwz;rfz;rs"
117,39144,94,"rwz;rfz;rs"
120,39143,94,"rwz;rfz;rs"
123,39139,94,"rwz;rfz;rs"
126,39139,94,"rwz;rfz;rs"
129,39139,94,"rwz;rfz;rs"
132,39139,94,"rwz;rfz;rs"
135,39138,94,"rwz;rfz;rs"
138,39138,94,"rwz;rfz;rs"
141,39138,94,"rwz;rfz;rs"
144,39138,94,"rwz;rfz;rs"
147,39138,94,"rwz;rfz;rs"
150,39138,94,"rwz;rfz;rs"
153,39138,94,"rwz;rfz;rs"